"","Trait.names","Trait.Group","Trait.name.according.to.TRY...TraitID","Unit","nb.of.observations"
"1","Leaf C","Eco","Leaf carbon (C) content per leaf dry mass/ 13","mg g-1","15510"
"2","Leaf N","Eco","Leaf nitrogen (N) content per leaf dry mass/ 14","mg g-1","34719"
"3","Leaf N area","Eco","Leaf nitrogen (N) content per leaf area / 50","g m-2","15108"
"4","Leaf N:P","Eco","Leaf nitrogen/phosphorus (N/P) ratio/ 56","g g-1","6088"
"5","Leaf P","Eco","Leaf phosphorus (P) content per leaf dry mass/ 15","mg g-1","14655"
"6","SLA","Eco","Leaf area per leaf dry mass (specific leaf are, SLA)/ 11","mm2 mg-1","71724"
"7","Stem dens","Eco","Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)/ 4","mg mm-3","12776"
"8","Leaf d15N","Other","Leaf nitrogen (N) isotope signature (delta 15N)/ 78","???","8806"
"9","Seeds U","Other","Seed number per reproduction unit/ 138","","0"
"10","Vessel len","Other","Wood vessel element length/ 282","??m","0"
"11","Conduit dens","Size","Stem conduit density (vessels and tracheids)/ 169","mm-2","153"
"12","Dispersal len","Size","Dispersal unit length/ 237","cm","26"
"13","Leaf area","Size","Leaf area/ 1","mm2","72686"
"14","Leaf f mass","Size","Leaf fresh mass/ 163","mg","21246"
"15","Height","Size","Plant height / 18","m","44971"
"16","Seed mass","Size","Seed dry mass/ 26","mg","6847"
"17","Seed len","Size","Seed length/ 27","mm","136"
